urls,domains_split
['https://uzhgorod.net.ua/news/166295'],uzhgorod ua news 166295
['https://mykolaiv.news/pod-nikolaevom-otbili-ataky-prikarpatsko-berlinskoi-brigady-rf'],ataky rf brigady prikarpatsko nikolaevom mykolaiv pod otbili berlinskoi news
['https://life.fakty.com.ua/ru/showbiz/putin-psyhopat-jogo-chekaye-krah-gurt-deep-purple-pidtrymav-ukrayinu/'], showbiz putin ua psyhopat deep purple pidtrymav jogo chekaye ukrayinu fakty gurt krah life
['http://www.russian-bazaar.com/ru/mnews/276976.htm'],276976 bazaar russian htm mnews
['https://www.44.ua/news/3335874/massovye-ubijstva-i-pytki-strasnyj-spisok-prestuplenij-putinskogo-rezima-na-donbasse-foto-video'],donbasse ua pytki spisok news i ubijstva video 44 putinskogo prestuplenij strasnyj massovye foto rezima na 3335874
['https://lifecity.com.ua/news/12278/'],12278 lifecity  ua news
['https://ukr-life.com.ua/vojna-ukraina-rossija-rossijskie-vojska-na-granice-s-ukrainoj-segodnja'],vojna rossijskie granice ua ukrainoj segodnja rossija s na vojska ukraina ukr life
['https://ukrreporter.com.ua/golovne/statti/spasy-myr-ubej-putyna-obrashhenye-grygoryya-omelchenko-k-ofytseram-rossyyanam.html'],spasy k statti rossyyanam ua grygoryya omelchenko ukrreporter obrashhenye ofytseram html putyna golovne myr ubej
['https://commons.com.ua/ru/global-south-support-ukraine/'], support global ua south ukraine commons
['https://news.poltava.ua/post2382087'],post2382087 ua poltava news
['https://www.infobae.com/ru/2022/03/06/the-new-york-times-photo-showing-how-russia-massacres-civilians-in-ukraine/'], massacres russia york how ukraine civilians photo 2022 new times showing 06 infobae the in 03
['https://cyprus-daily.news/rossiya-prodolzhaet-ubivat-detej-v-ukraine/'],cyprus  prodolzhaet v detej ukraine rossiya ubivat news daily
['https://culturemeter.od.ua/zhurnalyst%D1%8B-nashly-russkogo-soldata-y-ego-zhenu-kotor%D1%8Be-predlagaly-nasylovat-ukraynok-133945/'],nasylovat y culturemeter  predlagaly 133945 ego ua zhenu nashly kotor%D1%8Be od soldata ukraynok zhurnalyst%D1%8B russkogo
['https://voxukraine.org/ru/obzor-provokatsyj-y-dezynformatsyy-rf/'], y rf voxukraine dezynformatsyy org obzor provokatsyj
['https://www.vinegret.cz/652950/senat-chekhii-priznal-deistviia-rf-v-ukraine-genotsidom-ukrainskogo-naroda/'], naroda rf cz v ukraine senat 652950 ukrainskogo genotsidom priznal deistviia chekhii vinegret
['https://vv.org.ua/news-world/okkupanty-iz-za-poter-otpravljajut-v-ukrainu-voennosluzhashhih-zhenshhin-ndash-zhurnalist/'],zhenshhin ndash  okkupanty ua zhurnalist v voennosluzhashhih world iz vv za poter otpravljajut ukrainu org news
['https://ukraine.today.ua/ru/genshtab-vsu-nazval-napravlenyya-gde-nastupayut-okkupanty/'], genshtab okkupanty nazval today ua gde napravlenyya ukraine nastupayut vsu
['www.polskieradio24.pl'],polskieradio24 pl
['https://www.wikiwand.com/ru/%D0%92%D0%BE%D0%B5%D0%BD%D0%BD%D1%8B%D0%B5_%D0%BF%D1%80%D0%B5%D1%81%D1%82%D1%83%D0%BF%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F_%D0%B2_%D0%BF%D0%B5%D1%80%D0%B8%D0%BE%D0%B4_%D0%B2%D1%82%D0%BE%D1%80%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8_%D0%BD%D0%B0_%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%83'],wikiwand %D0%92%D0%BE%D0%B5%D0%BD%D0%BD%D1%8B%D0%B5_%D0%BF%D1%80%D0%B5%D1%81%D1%82%D1%83%D0%BF%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F_%D0%B2_%D0%BF%D0%B5%D1%80%D0%B8%D0%BE%D0%B4_%D0%B2%D1%82%D0%BE%D1%80%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8_%D0%BD%D0%B0_%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%83
['https://bin.ua/news/economics/economic/275144-rossijskie-okupanty-uzhe-ukrali-u-ukrainy-vody.html'],275144 uzhe rossijskie ua okupanty vody u ukrainy ukrali bin economics economic html news
['1tv.ge'],ge 1tv
['https://bucha-massacre.com/gallery'],massacre gallery bucha
['https://www.nippon.com/ru/in-depth/a08104/'], nippon a08104 in depth
['https://zakdialoh.com/128-ma-zakarpatska-brygada-likviduvala-chergovogo-rosijskogo-ofitsera-foto-18'],foto rosijskogo chergovogo zakarpatska ma 18 zakdialoh 128 likviduvala ofitsera brygada
