record_id,decisionNumber,decisionDate,authority_id,authority_name,status,domains,urls
2904472,б/н,2021-01-15,103,Центральный районный суд г. Челябинска - Челябинская область,blocked,['prostitutkikurganagirls.com'],[]
2924065,б/н,2021-01-15,103,Центральный районный суд г. Челябинска - Челябинская область,blocked,['prostitutkikurganabest.com'],[]
2924066,б/н,2021-01-15,103,Центральный районный суд г. Челябинска - Челябинская область,blocked,['sex-portal.org'],[]
2961133,2а-14/20,2021-01-19,714,Нязепетровский районный суд - Челябинская область,blocked,['xx-74.ru'],[]
2966748,2а-12/2021,2021-01-19,714,Нязепетровский районный суд - Челябинская область,blocked,['chelyabinsk.diplomnarukah.com'],[]
2973949,2а-258/2021,2021-01-11,210,Металлургический районный суд г. Челябинска - Челябинская область,blocked,['feiportal-chelyabinsk.xyz'],[]
2975468,2а-223/2021,2021-01-11,210,Металлургический районный суд г. Челябинска - Челябинская область,blocked,['ladypi.vienn-info.ru'],['https://ladypi.vienn-info.ru/tape/582']
2975469,2а-223/2021,2021-01-11,210,Металлургический районный суд г. Челябинска - Челябинская область,blocked,['pvkgb.ru'],['https://pvkgb.ru/simplifield/7061']
2982414,2а-84/2021,2021-01-27,1791,Брединский районный суд - Челябинская область,blocked,['apornoflv.online'],[]
2983088,2а-244/2021,2021-01-11,210,Металлургический районный суд г. Челябинска - Челябинская область,blocked,['a.chelamur.ru'],[]
2983089,2а-244/2021,2021-01-11,210,Металлургический районный суд г. Челябинска - Челябинская область,blocked,['ch.24h.sex'],[]
2993268,2а-82/2021,2021-01-27,1791,Брединский районный суд - Челябинская область,blocked,['porno-ru.cc'],[]
2998909,2а-81/2021,2021-01-27,1791,Брединский районный суд - Челябинская область,blocked,['ru.faporn.pro'],[]
3000944,2а-80/2021,2021-01-27,1791,Брединский районный суд - Челябинская область,blocked,['pornolomkax.mobi'],[]
3001538,2а-2932/2021,2021-02-12,103,Центральный районный суд г. Челябинска - Челябинская область,blocked,['sex1.sexprm.guru'],[]
3004226,2а-340/2021,2021-01-18,210,Металлургический районный суд г. Челябинска - Челябинская область,blocked,['prostitutkiekaterinburga.info'],[]
3013805,2а-815/2021,2021-01-20,560,Тракторозаводский районный суд г. Челябинска - Челябинская область,blocked,['solikamsk.prava-online.net'],[]
3018054,2а-2551/2021,2021-02-05,103,Центральный районный суд г. Челябинска - Челябинская область,blocked,['yaporn.click'],[]
3027673,2а-3052/2021,2021-02-17,103,Центральный районный суд г. Челябинска - Челябинская область,blocked,['prostitutkisurguta2020.com'],[]
3027675,2а-3047/2021,2021-02-17,103,Центральный районный суд г. Челябинска - Челябинская область,blocked,['sex1.sexosochi.sex'],[]
3040803,2а-341/2021,2021-01-18,210,Металлургический районный суд г. Челябинска - Челябинская область,blocked,['sex1.sexekat.sex'],['https://sex1.sexekat.sex/viezd/']
3049955,2а-418-2021,2021-02-17,1075,Саткинский городской суд - Челябинская область,blocked,['thomas-stege.de'],['https://thomas-stege.de/forumthread.php?forumid=20&menuid=5&rootid=0&msgid=2553']
3049996,2а-1367/2021,2021-02-09,66,Курчатовский районный суд г. Челябинска - Челябинская область,blocked,['play.casinokorona-games.net'],[]
3057957,2а-109/2021,2021-02-12,967,Снежинский городской суд - Челябинская область,blocked,['vladikavkaz.eccemoda.ru'],[]
3057968,2а-886/2021,2021-02-16,208,Копейский городской суд - Челябинская область,blocked,['porno365-video.me'],[]
3057969,2а-114/2021,2021-02-12,967,Снежинский городской суд - Челябинская область,blocked,['nazran.eccemoda.ru'],[]
3057979,2а-113/2021,2021-02-12,967,Снежинский городской суд - Челябинская область,blocked,['vladikavkaz.prostitutki.store'],[]
3067086,2а-1880/2021,2021-01-18,103,Центральный районный суд г. Челябинска - Челябинская область,blocked,['prostitutkitaganrogaxxx.net'],[]
3067096,2а-1882/2021,2021-01-18,103,Центральный районный суд г. Челябинска - Челябинская область,blocked,['prostitutkitaganrogax.com'],[]
3067152,2а-2652/2021,2021-02-26,103,Центральный районный суд г. Челябинска - Челябинская область,blocked,['sex-studentki.cam'],[]
3080127,2а-325/2021,2021-01-19,181,Правобережный районный суд г. Магнитогорска - Челябинская область,blocked,['www.magnitka-murmur.com'],[]
3080130,2а-397/2021 (2а-3220/2020),2021-01-14,181,Правобережный районный суд г. Магнитогорска - Челябинская область,blocked,['prostitutkimagnitogorskasexy.com'],[]
3080148,2а-327/2021,2021-01-19,181,Правобережный районный суд г. Магнитогорска - Челябинская область,blocked,['1.1prostitutki-magnitogorska.com'],[]
3080168,2а-396/2021,2021-01-15,181,Правобережный районный суд г. Магнитогорска - Челябинская область,blocked,['xprostitutki-magnitogorska.com'],[]
3080227,2а-398/2021 (2а-3221/2020),2021-01-14,181,Правобережный районный суд г. Магнитогорска - Челябинская область,blocked,['prostitutkimagnitogorskadate.com'],[]
3080266,2а-394/2021 (2а-3217/2020),2021-01-15,181,Правобережный районный суд г. Магнитогорска - Челябинская область,blocked,['magnitogorsk2.vselennaya-shluh.com'],['https://magnitogorsk2.vselennaya-shluh.com/elithye/']
3084231,2а-387/2021 (2а-3210/2020),2021-01-13,181,Правобережный районный суд г. Магнитогорска - Челябинская область,blocked,['prostitutki-individualki.pro'],['http://prostitutki-individualki.pro/shlyuhi_magnitogorsk']
