domains,urls
['uzhgorod.net.ua'],['https://uzhgorod.net.ua/news/166295']
['mykolaiv.news'],['https://mykolaiv.news/pod-nikolaevom-otbili-ataky-prikarpatsko-berlinskoi-brigady-rf']
['life.fakty.com.ua'],['https://life.fakty.com.ua/ru/showbiz/putin-psyhopat-jogo-chekaye-krah-gurt-deep-purple-pidtrymav-ukrayinu/']
['www.russian-bazaar.com'],['http://www.russian-bazaar.com/ru/mnews/276976.htm']
['www.44.ua'],['https://www.44.ua/news/3335874/massovye-ubijstva-i-pytki-strasnyj-spisok-prestuplenij-putinskogo-rezima-na-donbasse-foto-video']
['lifecity.com.ua'],['https://lifecity.com.ua/news/12278/']
['ukr-life.com.ua'],['https://ukr-life.com.ua/vojna-ukraina-rossija-rossijskie-vojska-na-granice-s-ukrainoj-segodnja']
['ukrreporter.com.ua'],['https://ukrreporter.com.ua/golovne/statti/spasy-myr-ubej-putyna-obrashhenye-grygoryya-omelchenko-k-ofytseram-rossyyanam.html']
['commons.com.ua'],['https://commons.com.ua/ru/global-south-support-ukraine/']
['news.poltava.ua'],['https://news.poltava.ua/post2382087']
['www.infobae.com'],['https://www.infobae.com/ru/2022/03/06/the-new-york-times-photo-showing-how-russia-massacres-civilians-in-ukraine/']
['cyprus-daily.news'],['https://cyprus-daily.news/rossiya-prodolzhaet-ubivat-detej-v-ukraine/']
['culturemeter.od.ua'],['https://culturemeter.od.ua/zhurnalyst%D1%8B-nashly-russkogo-soldata-y-ego-zhenu-kotor%D1%8Be-predlagaly-nasylovat-ukraynok-133945/']
['voxukraine.org'],['https://voxukraine.org/ru/obzor-provokatsyj-y-dezynformatsyy-rf/']
['www.vinegret.cz'],['https://www.vinegret.cz/652950/senat-chekhii-priznal-deistviia-rf-v-ukraine-genotsidom-ukrainskogo-naroda/']
['vv.org.ua'],['https://vv.org.ua/news-world/okkupanty-iz-za-poter-otpravljajut-v-ukrainu-voennosluzhashhih-zhenshhin-ndash-zhurnalist/']
['ukraine.today.ua'],['https://ukraine.today.ua/ru/genshtab-vsu-nazval-napravlenyya-gde-nastupayut-okkupanty/']
['www.polskieradio24.pl'],['www.polskieradio24.pl']
['www.wikiwand.com'],['https://www.wikiwand.com/ru/%D0%92%D0%BE%D0%B5%D0%BD%D0%BD%D1%8B%D0%B5_%D0%BF%D1%80%D0%B5%D1%81%D1%82%D1%83%D0%BF%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F_%D0%B2_%D0%BF%D0%B5%D1%80%D0%B8%D0%BE%D0%B4_%D0%B2%D1%82%D0%BE%D1%80%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8_%D0%BD%D0%B0_%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%83']
['bin.ua'],['https://bin.ua/news/economics/economic/275144-rossijskie-okupanty-uzhe-ukrali-u-ukrainy-vody.html']
['1tv.ge'],['1tv.ge']
['bucha-massacre.com'],['https://bucha-massacre.com/gallery']
['www.nippon.com'],['https://www.nippon.com/ru/in-depth/a08104/']
['zakdialoh.com'],['https://zakdialoh.com/128-ma-zakarpatska-brygada-likviduvala-chergovogo-rosijskogo-ofitsera-foto-18']
