record_id,case_number,unique_identifier,case_type,instance,category,region,result,court_first_instance,link_to_source,judge,plaintiff,interested_party,text
4572715,2а-1599/2022 ~ М-1166/2022,Не заполнено,Административное дело,Первая инстанция,"о признании информации, распространяемой посредством сети ""Интернет"", запрещенной информацией (кроме экстремистских материалов)",Владимирская область,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",Не заполнено,Не заполнено,Рыжова Анна Михайловна,,," Дело № 2а-1599/2022                                  УИД 33RS0001-01-2022-002563-67 РЕШЕНИЕ Именем Российской Федерации 10 июня 2022 года г.Владимир Ленинский районный суд г.Владимира в составе: председательствующего судьи Рыжовой А.М., при секретаре                              Ежиковой А.А., с участием представителя административного истца Замашнюка И.А., рассмотрев в открытом судебном заседании административное дело по административному иску военного прокурора Владимирского гарнизона, действующего в интересах неопределенного круга лиц и Российской Федерации, о признании информации, распространенной посредством сети «Интернет» информацией, запрещенной к распространению на территории Российской Федерации, У С Т А Н О В И Л: Военный прокурор Владимирского гарнизона, действуя в порядке ст. 39 КАС РФ в интересах Российской Федерации и неопределенного круга лиц, обратился в Ленинский районный суд г.Владимира с административным исковым заявлением о признании информации, распространяемой посредством сети Интернет информацией, распространение которой на территории РФ запрещено. В обоснование иска указано, что в рамках проверки исполнения законодательства об информации, информационных технологиях и о защите информации осуществлен мониторинг веб-страниц сети «Интернет», по результатам которого на веб-страницах с URL-адресом https://uzhgorod.net.ua/news/166295, выявлены содержащие запрещенную информацию сведения, раскрывающие потери личного состава Вооруженных Сил Российской Федерации в период проведения специальной военной операции, имена, анкетные данные погибших, а также их персональные данные. При этом доступ на сайт является свободным, не требует предварительной регистрации с введением логина и пароля, ознакомиться с содержанием страницы может любой желающий. Информация, распространяемая на указанной Интернет-странице, содержит конфиденциальную информацию и сведения, составляющие государственную тайну, распространение которых носит противоправный характер, На основании изложенного истец просит признать информацию на интернет–сайте https://uzhgorod.net.ua/news/166295 информацией, распространение которой запрещено на территории Российской Федерации, и включить данный интернет–сайт в единый реестр доменных имен и (или) указателей страниц сайтов в сети «Интернет», позволяющих идентифицировать сайты в сети «Интернет», содержащие информацию, распространение которой в Российской Федерации запрещено. Представитель административного истца в судебном заседании поддержал требования по указанным в иске основаниям. Представитель заинтересованного лица Управления Роскомнадзора по Владимирской области, надлежаще извещенный о времени и месте слушания дела в судебное заседание не явился, просил о рассмотрении дела в его отсутствие. Выслушав представителя истца, изучив материалы административного дела, суд приходит к следующему. Согласно ч.1 ст.10 Федерального закона от 27.07.2006 № 149-ФЗ «Об информации, информационных технологиях и о защите информации» в Российской Федерации распространение информации осуществляется свободно при соблюдении требований, установленных федеральным законодательством. Передача информации посредством использования информационно-телекоммуникационных сетей осуществляется без ограничений при условии соблюдения установленных федеральными законами требований к распространению информации и охране объектов интеллектуальной собственности и может быть ограничена в порядке и на условиях, которые установлены федеральными законами (ч.5 ст.15 ФЗ №149). Частью 6 ст.10 Федерального закона № 149 запрещено распространение информации, которая направлена на пропаганду войны, разжигание национальной, расовой или религиозной ненависти и вражды, а также иной информации, за распространение которой предусмотрена уголовная или административная ответственность. В силу ст.9 Федерального закона № 149 ограничение доступа к информации устанавливается федеральными законами в целях защиты основ конституционного строя, нравственности, здоровья, прав и законных интересов других лиц, обеспечения обороны страны и безопасности государства. В силу ч.1 ст.15.1 Федерального закона № 149 в целях ограничения доступа к сайтам в сети Интернет, содержащим информацию, распространение которой в Российской Федерации запрещено, создана единая автоматизированная информационная система «Единый реестр доменных имен, указателей страниц сайтов в сети Интернет». Согласно ч.2 ст.15.1 данного Федерального закона в реестр включаются сетевые адреса, позволяющие идентифицировать сайты в сети Интернет, содержащие информацию, распространение которой в Российской Федерации запрещено; доменные имена и (или) указатели страниц сайтов в сети Интернет, содержащих информацию, распространение которой в Российской Федерации запрещено. Основанием для включения в реестр указанных сведений является, в том числе, вступившее в законную силу решение суда о признании информации, распространяемой посредством сети Интернет, информацией, распространение которой в Российской Федерации запрещено (ч.5 ст.15.1 ФЗ № 149).По делам о признании указанной информации размещенной в сети Интернет, запрещенной к распространению в Российской Федерации юридически значимым обстоятельством является сам факт распространения на таком сайте в сети Интернет запрещенной информации. Установление данного обстоятельства является достаточным основанием для признания информации, распространенной в сети Интернет, запрещенной. Судом установлено, в рамках проверки исполнения законодательства об информации, информационных технологиях и о защите информации осуществлен мониторинг веб-страниц сети «Интернет», по результатам которого на веб-странице с URL-адресом: https://uzhgorod.net.ua/news/166295, содержащий запрещенную информацию - сведения, раскрывающие потери личного состава Вооруженных Сил Российской Федерации в период проведения специальной военной операции, имена, анкетные данные погибших, а также их персональные данные. При этом доступ на сайт является свободным, не требует предварительной регистрации с введением логина и пароля, ознакомиться с содержанием страницы может любой желающий. Вход на указанный интернет ресурс является свободным, без каких-либо ограничений и предупреждений. Установить лицо, использующее доменное имя, не представляется возможным.  Согласно Закону РФ от 21.07.1993 года № 5485-1 «О государственной тайне» государственная тайна - защищаемые государством сведения в области его военной, внешнеполитической, экономической, разведывательной, контрразведывательной и оперативно-розыскной деятельности, распространение которых может нанести ущерб безопасности Российской Федерации.  К перечню сведений, составляющих государственную тайну, который утвержден Указом Президента Российской Федерации от 30 ноября 1995 г. №1203, отнесены сведения, раскрывающие потери личного состава в военное время, в мирное время в период проведения специальных операций (пункт 10 Указа) Полномочиями по распоряжению такими сведениями наделено Министерство обороны Российской Федерации. В соответствии со статьей 26 Закону РФ от 21.07.1993 года № 5485-1 «О государственной тайне» должностные лица и граждане, виновные в нарушении законодательства Российской Федерации о государственной тайне, несут уголовную, административную, гражданско-правовую или дисциплинарную ответственность в соответствии с действующим законодательством.  Уголовная ответственность за нарушение законодательства о государственной тайне установлена статьями 283, 283.1, 276 УК РФ, административная ответственность - ч.7 ст.13.15 КоАП РФ.     В соответствии с пунктом 10 статьи 3 Федерального закона от 27.07.2006 № 152-ФЗ «О персональных данных» конфиденциальность персональных данных означает, что любое лицо получившее доступ к персональным данным, не должно допускать их распространения без согласия субъекта персональных данных или наличия иного законного основания. При этом в силу требований закона операторы и иные лица, получившие доступ к персональным данным, обязаны не раскрывать третьим лицам и не распространять персональные данные без согласия субъекта персональных данных или наличия иного законного основания. Статьей 13.11 КоАП РФ предусмотрена ответственность за нарушение законодательства Российской Федерации в области персональных данных. Статьей 137 УК РФ установлена ответственность за незаконное собирание или распространение сведений о частной жизни лица, составляющих его личную и семейную тайну, без его согласия.  Таким образом, перечисленными выше правовыми нормами предусмотрен запрет на распространение информации, содержащей персональные данные граждан и сведений, раскрывающих потери личного состава Вооруженных Сил Российской Федерации в период проведения специальной операции, имена, анкетные данные погибших. Наличие в свободном доступе на Интернет-ресурсе по указанному выше электронному адресу изложенной информации нарушает права неопределенного круга лиц и противоречит нормам действующего законодательства, нарушает публичные интересы государства. При таких обстоятельствах, в целях предотвращения распространения указанной информации и её использования, суд приходит к выводу об удовлетворении заявленных требований. Руководствуясь ст.ст.175-180 КАС РФ, суд РЕШИЛ: Административный иск военного прокурора Владимирского гарнизона, действующего в интересах неопределенного круга лиц и Российской Федерации удовлетворить. Признать информацию, распространяемую в информационно-телекоммуникационной сети «Интернет» на сайте https://uzhgorod.net.ua/news/166295 и его отображениях информацией, распространение которой на территории Российской Федерации запрещено. Настоящее решение является основанием для внесения указанного сайта в Единый реестр доменных имен, указателей страниц сайтов в сети «Интернет» и сетевых адресов, позволяющих идентифицировать сайты в сети «Интернет», содержащие информацию, распространение которой в Российской Федерации запрещено. Решение подлежит немедленному исполнению, но может быть обжаловано в течение месяца со дня его принятия в окончательной форме во Владимирский областной суд через Ленинский районный суд г. Владимира. Председательствующий судья                         А.М. Рыжова "
4577074,2а-1597/2022 ~ М-1175/2022,Не заполнено,Административное дело,Первая инстанция,"о признании информации, распространяемой посредством сети ""Интернет"", запрещенной информацией (кроме экстремистских материалов)",Владимирская область,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",Не заполнено,Не заполнено,Рыжова Анна Михайловна,,," Дело № 2а-1597/2022                                  УИД 33RS0001-01-2022-002572-40 РЕШЕНИЕ Именем Российской Федерации 10 июня 2022 года г.Владимир Ленинский районный суд г.Владимира в составе: председательствующего судьи Рыжовой А.М., при секретаре                              Ежиковой А.А., с участием представителя административного истца Замашнюка И.А., рассмотрев в открытом судебном заседании административное дело по административному иску военного прокурора Владимирского гарнизона, действующего в интересах неопределенного круга лиц и Российской Федерации, о признании информации, распространенной посредством сети «Интернет» информацией, запрещенной к распространению на территории Российской Федерации, У С Т А Н О В И Л: Военный прокурор Владимирского гарнизона, действуя в порядке ст. 39 КАС РФ в интересах Российской Федерации и неопределенного круга лиц, обратился в Ленинский районный суд г.Владимира с административным исковым заявлением о признании информации, распространяемой посредством сети Интернет информацией, распространение которой на территории РФ запрещено. В обоснование иска указано, что в рамках проверки исполнения законодательства об информации, информационных технологиях и о защите информации осуществлен мониторинг веб-страниц сети «Интернет», по результатам которого на веб-страницах с URL-адресом https://mykolaiv.news/pod-nikolaevom-otbili-ataky-prikarpatsko-berlinskoi-brigady-rf, выявлены содержащие запрещенную информацию сведения, раскрывающие потери личного состава Вооруженных Сил Российской Федерации в период проведения специальной военной операции, имена, анкетные данные погибших, а также их персональные данные. При этом доступ на сайт является свободным, не требует предварительной регистрации с введением логина и пароля, ознакомиться с содержанием страницы может любой желающий. Ссылаясь на положения ст. 15.1 ФЗ №149 –ФЗ истец просит признать информацию на интернет–сайте https://mykolaiv.news/pod-nikolaevom-otbili-ataky-prikarpatsko-berlinskoi-brigady-rf информацией, распространение которой запрещено на территории Российской Федерации, и включить данный интернет–сайт в единый реестр доменных имен и (или) указателей страниц сайтов в сети «Интернет», позволяющих идентифицировать сайты в сети «Интернет», содержащие информацию, распространение которой в Российской Федерации запрещено. Представитель административного истца в судебном заседании поддержал требования по указанным в иске основаниям. Представитель заинтересованного лица Управления Роскомнадзора по Владимирской области, надлежаще извещенный о времени и месте слушания дела в судебное заседание не явился, просил о рассмотрении дела в его отсутствие. Выслушав представителя истца, изучив материалы административного дела, суд приходит к следующему. Согласно ч.1 ст.10 Федерального закона от 27.07.2006 № 149-ФЗ «Об информации, информационных технологиях и о защите информации» в Российской Федерации распространение информации осуществляется свободно при соблюдении требований, установленных федеральным законодательством. Передача информации посредством использования информационно-телекоммуникационных сетей осуществляется без ограничений при условии соблюдения установленных федеральными законами требований к распространению информации и охране объектов интеллектуальной собственности и может быть ограничена в порядке и на условиях, которые установлены федеральными законами (ч.5 ст.15 ФЗ №149). Частью 6 ст.10 Федерального закона № 149 запрещено распространение информации, которая направлена на пропаганду войны, разжигание национальной, расовой или религиозной ненависти и вражды, а также иной информации, за распространение которой предусмотрена уголовная или административная ответственность. В силу ст.9 Федерального закона № 149 ограничение доступа к информации устанавливается федеральными законами в целях защиты основ конституционного строя, нравственности, здоровья, прав и законных интересов других лиц, обеспечения обороны страны и безопасности государства. В силу ч.1 ст.15.1 Федерального закона № 149 в целях ограничения доступа к сайтам в сети Интернет, содержащим информацию, распространение которой в Российской Федерации запрещено, создана единая автоматизированная информационная система «Единый реестр доменных имен, указателей страниц сайтов в сети Интернет». Согласно ч.2 ст.15.1 данного Федерального закона в реестр включаются сетевые адреса, позволяющие идентифицировать сайты в сети Интернет, содержащие информацию, распространение которой в Российской Федерации запрещено; доменные имена и (или) указатели страниц сайтов в сети Интернет, содержащих информацию, распространение которой в Российской Федерации запрещено. Основанием для включения в реестр указанных сведений является, в том числе, вступившее в законную силу решение суда о признании информации, распространяемой посредством сети Интернет, информацией, распространение которой в Российской Федерации запрещено (ч.5 ст.15.1 ФЗ № 149). По делам о признании указанной информации размещенной в сети Интернет, запрещенной к распространению в Российской Федерации юридически значимым обстоятельством является сам факт распространения на таком сайте в сети Интернет запрещенной информации. Установление данного обстоятельства является достаточным основанием для признания информации, распространенной в сети Интернет, запрещенной. Судом установлено, в рамках проверки исполнения законодательства об информации, информационных технологиях и о защите информации осуществлен мониторинг веб-страниц сети «Интернет», по результатам которого на веб-странице с URL-адресом: https://mykolaiv.news/pod-nikolaevom-otbili-ataky-prikarpatsko-berlinskoi-brigady-rf, содержащий запрещенную информацию - сведения, раскрывающие потери личного состава Вооруженных Сил Российской Федерации в период проведения специальной военной операции, имена, анкетные данные погибших, а также их персональные данные. При этом доступ на сайт является свободным, не требует предварительной регистрации с введением логина и пароля, ознакомиться с содержанием страницы может любой желающий. Установить лицо, использующее доменное имя, не представляется возможным.  Согласно Закону РФ от 21.07.1993 года № 5485-1 «О государственной тайне» государственная тайна - защищаемые государством сведения в области его военной, внешнеполитической, экономической, разведывательной, контрразведывательной и оперативно-розыскной деятельности, распространение которых может нанести ущерб безопасности Российской Федерации.  К перечню сведений, составляющих государственную тайну, который утвержден Указом Президента Российской Федерации от 30 ноября 1995 г. №1203, отнесены сведения, раскрывающие потери личного состава в военное время, в мирное время в период проведения специальных операций (пункт 10 Указа) Полномочиями по распоряжению такими сведениями наделено Министерство обороны Российской Федерации. В соответствии со статьей 26 Закону РФ от 21.07.1993 года № 5485-1 «О государственной тайне» должностные лица и граждане, виновные в нарушении законодательства Российской Федерации о государственной тайне, несут уголовную, административную, гражданско-правовую или дисциплинарную ответственность в соответствии с действующим законодательством.  Уголовная ответственность за нарушение законодательства о государственной тайне установлена статьями 283, 283.1, 276 УК РФ, административная ответственность - ч.7 ст.13.15 КоАП РФ. В соответствии с пунктом 10 статьи 3 Федерального закона от 27.07.2006 № 152-ФЗ «О персональных данных» конфиденциальность персональных данных означает, что любое лицо получившее доступ к персональным данным, не должно допускать их распространения без согласия субъекта персональных данных или наличия иного законного основания. При этом в силу требований закона операторы и иные лица, получившие доступ к персональным данным, обязаны не раскрывать третьим лицам и не распространять персональные данные без согласия субъекта персональных данных или наличия иного законного основания. Статьей 13.11 КоАП РФ предусмотрена ответственность за нарушение законодательства Российской Федерации в области персональных данных. Статьей 137 УК РФ установлена ответственность за незаконное собирание или распространение сведений о частной жизни лица, составляющих его личную и семейную тайну, без его согласия.  Таким образом, перечисленными выше правовыми нормами предусмотрен запрет на распространение информации, содержащей персональные данные граждан и сведений, раскрывающих потери личного состава Вооруженных Сил Российской Федерации в период проведения специальной операции, имена, анкетные данные погибших. Наличие в свободном доступе на Интернет-ресурсе по указанному выше электронному адресу изложенной информации нарушает права неопределенного круга лиц и противоречит нормам действующего законодательства, нарушает публичные интересы государства. При таких обстоятельствах, в целях предотвращения распространения указанной информации и её использования, суд приходит к выводу об удовлетворении заявленных требований. Руководствуясь ст.ст.175-180 КАС РФ, суд РЕШИЛ: Административный иск военного прокурора Владимирского гарнизона, действующего в интересах неопределенного круга лиц и Российской Федерации удовлетворить. Признать информацию, распространяемую в информационно-телекоммуникационной сети «Интернет» на сайте https://mykolaiv.news/pod-nikolaevom-otbili-ataky-prikarpatsko-berlinskoi-brigady-rf и его отображениях информацией, распространение которой на территории Российской Федерации запрещено. Настоящее решение является основанием для внесения указанного сайта в Единый реестр доменных имен, указателей страниц сайтов в сети «Интернет» и сетевых адресов, позволяющих идентифицировать сайты в сети «Интернет», содержащие информацию, распространение которой в Российской Федерации запрещено. Решение подлежит немедленному исполнению, но может быть обжаловано в течение месяца со дня его принятия в окончательной форме во Владимирский областной суд через Ленинский районный суд г. Владимира. Председательствующий судья                             А.М. Рыжова "
4618823,2а-1978/2022 ~ М-1613/2022,Не заполнено,Административное дело,Первая инстанция,"об оспаривании решения о признании информации и материалов, распространяемых посредством сети ""Интернет"", информацией, распространение которой в Российской Федерации запрещено (решений о включении в реестр доменных имен, указателей страниц сайтов в с",Владимирская область,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",Не заполнено,Не заполнено,Фурсова Жанна Сергеевна,,," Дело № 2а-1978/2022 УИД 33RS0001-01-2022-003318-33 Р Е Ш Е Н И Е Именем Российской Федерации г. Владимир 01 июля 2022 года Ленинский районный суд г. Владимира в составе: председательствующего судьи Фурсовой Ж.С., при секретаре Сизовой О.С., с участием  рассмотрев в открытом судебном заседании административное дело по административному иску 19 военной прокуратуры армии, войсковая часть 56680, в интересах неопределенного круга лиц к Федеральной службе по надзору в сфере связи, информационных технологий и массовых коммуникаций о признании размещенной в сети «Интернет» информации запрещенной к распространению на территории Российской Федерации, установил: Прокурор 19 военной прокуратуры армии, войсковая часть 56680, в порядке ст. 39 КАС РФ в интересах неопределенного круга лиц обратился в Ленинский районный суд г.Владимира с административным исковым заявлением к Федеральной службе по надзору в сфере связи, информационных технологий и массовых коммуникаций в лице Управления Роскомнадзора по Владимирской области о признании информации, распространяемой посредством сети Интернет на сайтах  https://d1.ua/rossijskie-okkupanty-otkazyvayutsya-voevat-protiv-ukrainy-za-eto-im-ugrozhayut-repressiyami-glavnoe-upravlenie-razvedki, https://skeptik.com.ua/stali-izvestny-poteri-okkupanta-v-vojne-s-ukrainoj/, https://nr2.com.ua/sobytiya/2022/0?????poteri-rossiiskih-okkypantov-genshtab-nazval-poslednie-dannye-2/, https://napensii.ua/news/165586-stalo-izvestno-za-skolko-dnej-putin-planiroval-zavoevat-vsyu-ukrainu/, https://life.fakty.com.ua/ru/showbiz/putin-psyhopat-jogo-chekaye-krah-gurt-deep-purple-pidtrymav-ukrayinu/и их отображениях, информацией, распространение которой на территории РФ запрещено. В обоснование иска указал, что в ходе проведенной проверки исполнения законодательства об информации, информационных технологиях и о защите информации осуществлен мониторинг веб-страниц сети «Интернет», по результатам которого на указанных выше веб-страницах обнаружена информация, содержащая недостоверные общественно-значимые сведения политического характера о специальной военной операции Вооруженных Сил Российской Федерации на территории Украины, статьи, содержащие информацию оскорбительного характера о Президенте Российской Федерации, о чести и достоинстве военнослужащих Вооруженных Сил Российской Федерации, а также материалы, в которых специальная военная операция Вооруженных Сил Российской Федерации в Украине называется нападением, вторжением, либо объявлением войны, а также содержится дезинформация о проводимой политике. Распространение данной информации носит противоправный характер, вводит в заблуждение неопределенный круг относительно целей проводимой специальной военной операции, противоречит официальным информационным источникам, а также официальным заявлениям уполномоченных Российской Федерацией лиц и направлено на формирование у российской интернет-аудитории искаженного восприятия происходящих событий и создания протестных настроений, оскорбляет честь и достоинство Президента Российской Федерации и военнослужащих Вооруженных Сил Российской Федерации.  При этом доступ на сайты является свободным, не требует предварительной регистрации с введением логина и пароля, ознакомиться с содержанием страницы может любой желающий. На момент проверки указатели страниц сайтов в Едином реестре отсутствует. Признание информации, содержащейся на вышеуказанных Интернет сайтах, запрещенной к распространению на территории РФ, имеет юридическое значение для предотвращения ее распространения и использования в будущем. Представители административного истца и Управления Роскомнадзора по Владимирской области, надлежаще извещенные о времени и месте рассмотрения денла, в судебное заседание не явились. Представитель Управления Роскомнадзора по Владимирской области просил о рассмотрении дела в свое отсутствие.  Судом вынесено определение о рассмотрении административного дела в отсутствие неявившихся лиц. Изучив материалы административного дела, суд приходит к следующему. Согласно ч.1 ст.10 Федерального закона от 27.07.2006 № 149-ФЗ «Об информации, информационных технологиях и о защите информации» в Российской Федерации распространение информации осуществляется свободно при соблюдении требований, установленных федеральным законодательством. Передача информации посредством использования информационно-телекоммуникационных сетей осуществляется без ограничений при условии соблюдения установленных федеральными законами требований к распространению информации и охране объектов интеллектуальной собственности и может быть ограничена в порядке и на условиях, которые установлены федеральными законами (ч. 5 ст. 15 ФЗ № 149). Частью 6 ст.10 Федерального закона № 149 запрещено распространение информации, которая направлена на пропаганду войны, разжигание национальной, расовой или религиозной ненависти и вражды, а также иной информации, за распространение которой предусмотрена уголовная или административная ответственность. В силу ст.9 Федерального закона № 149 ограничение доступа к информации устанавливается федеральными законами в целях защиты основ конституционного строя, нравственности, здоровья, прав и законных интересов других лиц, обеспечения обороны страны и безопасности государства. В целях ограничения доступа к сайтам в сети Интернет, содержащим информацию, распространение которой в Российской Федерации запрещено, создана единая автоматизированная информационная система «Единый реестр доменных имен, указателей страниц сайтов в сети Интернет» (ч.1 ст.15.1 ФЗ № 14). Согласно ч.2 ст. 15.1 данного Федерального закона в реестр включаются сетевые адреса, позволяющие идентифицировать сайты в сети Интернет, содержащие информацию, распространение которой в Российской Федерации запрещено; доменные имена и (или) указатели страниц сайтов в сети Интернет, содержащих информацию, распространение которой в Российской Федерации запрещено. Основанием для включения в реестр указанных сведений является, в том числе, вступившее в законную силу решение суда о признании информации, распространяемой посредством сети Интернет, информацией, распространение которой в Российской Федерации запрещено (ч.5 ст.15.1 ФЗ № 149). По делам о признании указанной информации размещенной в сети Интернет, запрещенной к распространению в Российской Федерации юридически значимым обстоятельством является сам факт распространения на таком сайте в сети Интернет запрещенной информации. Установление данного обстоятельства является достаточным основанием для признания информации, распространенной в сети Интернет, запрещенной. Судом установлено, что в ходе проверки, проведенной 19 военной прокуратурой 07 июня 2022 года, в сети Интернет выявлены электронные адреса https://d1.ua/rossijskie-okkupanty-otkazyvayutsya-voevat-protiv-ukrainy-za-eto-im-ugrozhayut-repressiyami-glavnoe-upravlenie-razvedki, https://skeptik.com.ua/stali-izvestny-poteri-okkupanta-v-vojne-s-ukrainoj/, https://nr2.com.ua/sobytiya/2022/03/28/poteri-rossiiskih-okkypantov-genshtab-nazval-poslednie-dannye-2/, https://napensii.ua/news/165586-stalo-izvestno-za-skolko-dnej-putin-planiroval-zavoevat-vsyu-ukrainu/, https://life.fakty.com.ua/ru/showbiz/putin-psyhopat-jogo-chekaye-krah-gurt-deep-purple-pidtrymav-ukrayinu/ на страницах которых размещена информация, содержащая недостоверные общественно-значимые сведения политического характера о специальной военной операции Вооруженных Сил Российской Федерации на территории Украины, статьи, содержащие информацию оскорбительного характера о Президенте Российской Федерации, о чести и достоинстве военнослужащих Вооруженных Сил Российской Федерации, а также материалы, в которых специальная военная операция Вооруженных Сил Российской Федерации в Украине называется нападением, вторжением, либо объявлением войны, а также содержится дезинформация о проводимой политике. Доступ на указанные сайты является свободным, не требует предварительной регистрации с введением логина и пароля, ознакомиться с их содержанием может любой желающий. Установить лицо, использующее доменное имя, не представляется возможным.  Согласно ст.2 Федерального закона от 27 июля 2006 года № 149 «об информации, информационных технологиях и защите информации» информационно-телекоммуникационная связь – технологическая система, предназначенная для передачи по линиям связи информации, доступ к которой осуществляется с использованием средств вычислительной техники.  В соответствии с ч.1 ст.10 указанного Закона распространение информации осуществляется свободно при соблюдении требований, установленных федеральным законодательством. Частью 5 статьи 15 данного закона установлено, что передача информации посредством использования информационно-телекоммуникационных сетей осуществляется без ограничений при условии соблюдения установленных федеральным законодательством требований к распространению информации и охране объектов интеллектуальной собственности и может быть ограничена в порядке и на условиях, которые установлены федеральными законами. В силу ч.6 ст.10 Федерального закона от 27 июля 2006 года № 149 «об информации, информационных технологиях и защите информации» запрещается распространение информации, которая направлена на пропаганду войны, разжигание национальной, расовой или религиозной ненависти и вражды, а также иной информации, за распространение которой предусмотрена уголовная или административная ответственность. Публичное оскорбление представителя власти, а именно Президента Российской Федерации, влечет за собой уголовную ответственность, предусмотренную ст.319 УК РФ. В соответствии с ч.2 ст.5 Федерального закона от 27 мая 1998 года № 76-ФЗ «О статусе военнослужащих» оскорбление военнослужащих, насилие и угроза применения насилия, посягательство на их жизнь, здоровье, честь, достоинство, жилище, имущество, а равно другие действия (бездействие), нарушающие и ущемляющие их права в связи с исполнением ими обязанностей военной службы, влекут ответственность в соответствии с федеральными законами и иными нормативными правовыми актами Российской Федерации. Частью 1 ст. 207.3 УК РФ установлена уголовная ответственность за пПубличное распространение под видом достоверных сообщений заведомо ложной информации, содержащей данные об использовании Вооруженных Сил Российской Федерации в целях защиты интересов Российской Федерации и ее граждан, поддержания международного мира и безопасности, а равно содержащей данные об исполнении государственными органами Российской Федерации своих полномочий за пределами территории Российской Федерации в указанных целях. Таким образом, недостоверная информация, за распространение которой предусмотрена уголовная или административная ответственность является запрещенной на территории Российской Федерации. Учитывая изложенное, предоставление возможности свободного доступа к информации, размещенной на указанных выше интернет-сайтах, фактически способствует совершению нарушений закона, тем самым нарушаются публичные интересы Российской Федерации и права неопределенного круга лиц. Наличие в свободном доступе на Интернет-ресурсе по указанным выше электронным адресам изложенной информации нарушает права неопределенного круга лиц и противоречит нормам действующего законодательства, нарушает публичные интересы государства. При таких обстоятельствах, в целях предотвращения распространения указанной информации и её использования суд приходит к выводу об удовлетворении заявленных прокурором требований. Руководствуясь ст.ст.175-180 КАС РФ, суд решил: Административный иск 19 военной прокуратуры армии, войсковая часть 56680, в интересах неопределенного круга лиц и Российской Федерации удовлетворить. Признать информацию, распространяемую в информационно-телекоммуникационной сети «Интернет» на сайтах: https://d1.ua/rossijskie-okkupanty-otkazyvayutsya-voevat-protiv-ukrainy-za-eto-im-ugrozhayut-repressiyami-glavnoe-upravlenie-razvedki, https://skeptik.com.ua/stali-izvestny-poteri-okkupanta-v-vojne-s-ukrainoj/, https://nr2.com.ua/sobytiya/2022/03/28/poteri-rossiiskih-okkypantov-genshtab-nazval-poslednie-dannye-2/, https://napensii.ua/news/165586-stalo-izvestno-za-skolko-dnej-putin-planiroval-zavoevat-vsyu-ukrainu/, https://life.fakty.com.ua/ru/showbiz/putin-psyhopat-jogo-chekaye-krah-gurt-deep-purple-pidtrymav-ukrayinu/ и их отображениях информацией, распространение которой на территории Российской Федерации запрещено. Настоящее решение является основанием для внесения указанного сайта в Единый реестр доменных имен, указателей страниц сайтов в сети «Интернет» и сетевых адресов, позволяющих идентифицировать сайты в сети «Интернет», содержащие информацию, распространение которой в Российской Федерации запрещено. Решение подлежит немедленному исполнению. Решение может быть обжаловано во Владимирский областной суд через Ленинский районный суд г. Владимира в течение месяца со дня его принятия в окончательной форме. Председательствующий судья Ж.С. Фурсова Решение в окончательной форме принято 01 июля 2022 года."
